SCENARIO_CODE,FEATURE_URL,FEATURE FILE,SCENARIO_TITLE,SCENARIO,POINTS,Capitalize Gherkin keywords,Limit the number of steps per scenario to a maximum of ten,Line length: Limit the number of characters in each step,Number of syllables per word,Use proper spelling,Use proper grammar,Capitalize the first letter of the first word in a scenario title,Do not use punctuation at the end of step phrases,Use single spaces between words,Indent the content beneath every section header,Do not separate steps within a scenario by blank lines,Use of non-technical language,Do not capitalize words in the step phrases unless they are proper nouns,Follow steps order (Given-When-Then),Separate one scenario from another scenario by one blank line,Space table delimiter pipes (“|”) evenly,"Write all tag names in lowercase, and use hyphens to separate words",Limit the length of tag names to one-third of a scenario title,Use tabular presentation for complex information,Do not use legal jargon,Avoid repetition of steps,Provide a title for each scenario
P01_F01_SC_01,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,authentication.feature,Authentication required,"  Scenario: Authentication required
    Given I am on the home page
    When I follow ""Tasks""
    Then I should see ""You need to sign in or register before continuing.""",4.77,5,5,3,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F01_SC_02,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,authentication.feature,Register as new user,Scenario titles,4.82,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F01_SC_03,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,authentication.feature,Verify email,"  Scenario: Verify email
    Given I registered as a new user
    When I follow ""Confirm my account"" in the ""Confirmation instructions"" email
    Then I should be on the home page
    And I should see ""Your account was successfully confirmed. You are now signed in.""",4.82,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F01_SC_04,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,authentication.feature,Sign in,"  Scenario: Sign in
    Given I am a registered user
    And I am on the home page
    And I follow ""Sign in""
    And I fill in ""user_email"" with ""test@timefliesby.com""
    And I fill in ""user_password"" with ""secret""
    When I press ""Sign in""
    Then I should see ""Signed in successfully.""
    And I should see ""Sign out""",4.91,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F01_SC_05,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,authentication.feature,Sign out,"  Scenario: Sign out
    Given I am signed in as a new user
    When I follow ""Sign out""
    Then I should be on the home page
    And I should see ""Signed out successfully.""",5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F02_SC_01,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,tag.feature,Create tag,"  Scenario: Create tag
    Given I am signed in as a new user
    And I am on the new tag page
    And I fill in ""Education"" for ""tag_name""
    When I press ""Create Tag""
    Then I should see ""Tag was successfully created.""
    And I should see ""Education""",4.91,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F02_SC_02,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,tag.feature,Add tags to new task,"  Scenario: Add tags to new task
    Given I am signed in as a new user
    And I have the tags ""Education, Read Book, BDD""
    And I am on the new task page
    And I check ""Education""
    And I check ""Read Book""
    When I press ""Create Task""
    Then I should see ""Education""
    And I should see ""Read Book""",4.95,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F03_SC_01,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task.feature,Create new task with title,"  Scenario: Create new task with title
    Given I am signed in as a new user
    And I am on the new task page
    And I fill in all required fields
    And I fill in ""task_title"" with ""My first task title""
    When I press ""Create""
    Then I should see ""Task was successfully created.""
    And I should see ""My first task title""",4.91,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F03_SC_02,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task.feature,Create new task with description,"  Scenario: Create new task with description
    Given I am signed in as a new user
    And I am on the new task page
    When I fill in all required fields
    And I fill in ""task_description"" with ""A long task description explaining in more detail what the task is about""
    And I press ""Create""
    Then I should see ""Task was successfully created.""
    And I should see ""A long task description explaining""",4.86,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P01_F03_SC_03,https://github.com/mwendamseke/bdd_projects/blob/master/TimeFliesBy-master/features/,task.feature,Descending task order,"  Scenario: Descending task order
    Given I am signed in as a new user
    And I have some tasks
    When I am on the tasks page
    Then I should see more recent tasks first",5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
